Bug ID,Description,Compiled,Crash Occurred
282d1618210812b9e563dd688687df86a9fcfefa,KASAN: slab-out-of-bounds Read in do_ipt_set_ctl,✅,❌
f951f664994b715781832e7cdb5e750a25ebba19,KASAN: slab-out-of-bounds Read in xsk_setsockopt,✅,❌
33f4297b5f927648741a,UBSAN: array-index-out-of-bounds in check_stack_range_initialized,✅,❌
7a3d75905ea1a830dbe5,KASAN: slab-use-after-free Read in v9fs_stat2inode_dotl,✅,❌
6c50aa1e5d49c7a0ff58dafeb2f7c609b50bc2cd,KASAN: slab-out-of-bounds Read in data_sock_setsockopt,✅,❌
62d8b26793e8a2bd0516,KASAN: slab-use-after-free Read in bpf_trace_run4,❌,❌
2e22057de05b9f3b30d8,UBSAN: array-index-out-of-bounds in nilfs_add_link,✅,❌
2cb5a6c573e98db598cc,KASAN: slab-use-after-free Read in bpf_trace_run2,✅,❌
5d4cb6b4409edfd18646,KASAN: slab-use-after-free Read in __fput,❌,❌
981935d9485a560bfbcb,KASAN: slab-use-after-free Read in bpf_trace_run1,✅,❌
b91eb2ed18f599dd3c31,KASAN: slab-use-after-free Read in sys_io_cancel,✅,❌
c8f6608c72ae468dc543990bb4edc3056b5e018d,UBSAN: shift-out-of-bounds in taprio_change,❌,❌
763afad57075d3f862f2,KASAN: slab-use-after-free Read in f2fs_filemap_fault,❌,❌
3f0a39be7a2035700868,KASAN: slab-use-after-free Write in __hci_acl_create_connection_sync,✅,❌
ce750e124675d4599449,KASAN: slab-use-after-free Read in pvr2_context_set_notify,✅,❌
33f23b49ac24f986c9e8,KASAN: slab-out-of-bounds Read in getname_kernel,✅,❌
0ba3ac2d2d625350966cb2285d0286c977fde566,KASAN: slab-use-after-free Read in sock_wfree,✅,❌
bfde3bef047a81b8fde6,KASAN: use-after-free Read in __skb_flow_dissect,❌,❌
f1ceaa1a09ab891e1934,KASAN: invalid-access Read in neon_aes_ctr_encrypt,✅,❌
65e940cfb8f99a97aca7,KASAN: slab-out-of-bounds Read in ntfs_listxattr,✅,❌
3625b78845a725e80f61,KASAN: use-after-free Read in ntfs_lookup_inode_by_name,✅,❌
46073c22edd7f242c028,KASAN: use-after-free Read in udf_finalize_lvid,✅,❌
4768a8f039aa677897d0,UBSAN: shift-out-of-bounds in ntfs_iget,✅,❌
b4084c18420f9fad0b4f,KASAN: use-after-free Read in ntfs_iget5,✅,❌
0b7937459742a0a4cffd,KASAN: slab-use-after-free Read in udf_free_blocks,❌,❌
d3cd38158cd7c8d1432c,KASAN: use-after-free Read in ntfs_read_folio,✅,❌
4f7a1fc5ec86b956afb4,KASAN: slab-out-of-bounds Write in hfs_bnode_read_key,✅,❌
